smiles,pmic,n_meas
C#CCO[C@H]1CN(c2ncc(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,6.546294885510744,1
C#CCOc1ccc(OCC=C)c(C(=O)NO)c1,3.0040606750773953,2
C#CC[C@H](NC(=O)[C@@H](N)CC#C)C(=O)O,3.920576176179661,1
C#CC[C@H](NC(=O)[C@@H](N)CCl)C(=O)O,4.845575024666162,1
C#CC[n+]1ccc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N\OC4CCCC4)c4csc(N)n4)[C@H]3CO2)cc1,6.175104252743888,1
C#CCn1c(=O)oc2ccc(Cl)cc21,3.7432295517952867,1
C#C[C@@H]1[C@H](NC(=O)/C(=N/OC)c2csc(N)n2)C(=O)N1S(=O)(=O)O,6.271111750457263,2
C#C[C@@]1(O)[C@H](C)O[C@@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]2C)C[C@@]1(C)OC,5.996095004047585,1
C#C[C@@]1(O)[C@H](C)O[C@@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(O)C[C@@H](C)CN[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]2C)C[C@@]1(C)OC,5.38469228858156,1
C(=C/Cc1cc2ccc(C3=NCCCN3)cc2[nH]1)\Cc1cc2ccc(C3=NCCCN3)cc2[nH]1,6.003266551311236,2
C(=C/Cc1cc2ccc(C3=NCCN3)cc2[nH]1)\Cc1cc2ccc(C3=NCCN3)cc2[nH]1,6.12413345062811,2
C(=C/c1cc2ccc(C3=NCCN3)cc2[nH]1)\c1cc2ccc(C3=NCCN3)cc2[nH]1,5.8178759409919065,1
C(=C/c1ccc(-c2nc3ccccc3[nH]2)cc1)\c1ccccc1,3.772868631931054,1
C(=N/c1ccccn1)\c1cccc2ccccc12,2.7639630441030563,1
C(=N/c1nc[nH]n1)\c1ccco1,2.6078623183483565,1
C(=N/c1nc[nH]n1)\c1cccs1,2.9499264436679122,1
C(=N\c1nc[nH]n1)\c1cccc2ccccc12,3.6478737193827446,1
